Name,team,salary,position,years,height,weight,bloodType,throw.by,batting.by,birth.place,birth.day,背番号,打率,試合,打席数,打数,安打,本塁打,打点,盗塁,四球,死球,三振,犠打,併殺打,出塁率,長打率,OPS,RC27,XR27,防御率,勝利,敗北,セーブ,ホールド,勝率,打者,投球回,被安打,被本塁打,与四球,与死球,奪三振,失点,自責点,WHIP,DIPS
ドミンゲス,Lotte,9e3,内野手,1,188,99,不明,右,右,アメリカ,1989-08-28,42,0.19,37,93,84,16,7,16,0,6,3,18,0,0,0.269,0.488,0.757,4.66,4.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
井上　晴哉,Lotte,1350,内野手,5,180,114,A型,右,右,広島,1989-07-03,44,0.28,73,288,246,69,17,62,1,33,3,55,0,4,0.365,0.549,0.913,7.17,7.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
宗接　唯人,Lotte,730,捕手,2,183,90,O型,右,右,兵庫,1994-07-06,45,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,-2.92,-2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
岩下　大輝,Lotte,550,投手,4,181,80,O型,右,右,石川,1996-10-02,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
田中　靖洋,Lotte,1250,投手,13,183,88,A型,右,右,石川,1987-06-21,47,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.13,2,1,0,4,0.667,101,24,24,2,4,1,13,11,11,1.17,3.5
宮﨑　敦次,Lotte,800,投手,4,171,72,A型,左,左,山口,1992-12-08,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
チェン・グァンユウ,Lotte,2160,投手,8,179,75,B型,左,左,台湾,1990-10-29,49,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.32,0,1,0,1,0,73,15.2,19,4,9,0,15,11,11,1.79,6.25
大嶺　翔太,Lotte,1e3,内野手,9,180,82,A型,右,右,沖縄,1991-09-17,50,0.294,10,18,17,5,0,0,1,1,0,8,0,0,0.333,0.294,0.627,4.32,4.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
オルモス,Lotte,6700,投手,1,193,99,不明,左,左,アメリカ,1990-04-12,51,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.71,0,2,0,0,0,33,7,9,0,6,0,5,9,6,2.14,4.26
益田　直也,Lotte,11e3,投手,7,177,80,B型,右,右,和歌山,1989-10-25,52,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82,2,4,0,10,0.333,161,38.1,25,4,19,2,33,16,12,1.15,4.32
